,coef,SE (OLS),t (OLS),p (OLS),SE (HAC),t (HAC),p (HAC)
const,-55.03361154854667,2.289860745397951,-24.03360626149451,2.0594218489713075e-78,3.5942197228695716,-15.311699281592238,0.0
temp_anom,101.92725050630375,3.1160063350212948,32.710861130392146,8.221790400049287e-113,5.000079083485141,20.38512767587242,0.0
