,coef,SE (OLS),t (OLS),p (OLS),SE (HAC),t (HAC),p (HAC)
const,-41.989300815869356,0.5813189355598994,-72.23109079601409,1.9385297249208143e-224,1.7479379401363382,-24.02219200791203,0.0
temp_anom,13.511628466271574,1.3636042771788606,9.908760695753735,9.587986957966684e-21,3.174629383841774,4.2561278286665685,2.079978155533624e-05
trend,0.24929139349909707,0.0031967522323523355,77.98270725399809,2.58074814486093e-236,0.0075778209832347105,32.89750365581784,0.0
