,Count,Mean,Std,Min,25%,50%,75%,Max
Temperature Anomaly (°C),384.0,0.687,0.26,0.042,0.523,0.676,0.841,1.449
GMSL (mm),384.0,15.03,30.897,-38.29,-10.014,9.147,43.304,75.327
