,coef,SE (OLS),t (OLS),p (OLS),SE (HAC),t (HAC),p (HAC)
const,-538.7681799081713,8.899623934889844,-60.53830856784849,2.86951911986911e-155,8.640468377471286,-62.35404799500543,0.0
temp_anom,16.170574210074665,1.6466421938837252,9.82033271717348,1.4521425990190523e-19,2.175949788625866,7.431501542269753,1.0746958878371515e-13
evap,-0.10495106642183938,0.03247736895971314,-3.231513813573597,0.0013901503362207185,0.026416988812616716,-3.97286258347942,7.101402118281364e-05
co2_avg,1.403954420505568,0.024913262286512253,56.35369645129343,9.438435058688378e-148,0.024768196380236876,56.68375682073549,0.0
