year,month,evaporation
2009,7,42.815155029296875
2009,8,38.03767395019531
2009,9,31.099048614501953
2009,10,26.47597885131836
2009,11,23.58474349975586
2009,12,22.036640167236328
2010,1,22.66335678100586
2010,2,21.497034072875977
2010,3,27.441892623901367
2010,4,32.630821228027344
2010,5,39.66782760620117
2010,6,42.113948822021484
2010,7,44.144798278808594
2010,8,38.0831184387207
2010,9,30.9052677154541
2010,10,27.796964645385742
2010,11,24.324337005615234
2010,12,23.88970375061035
2011,1,24.039194107055664
2011,2,22.70828628540039
2011,3,27.275922775268555
2011,4,31.884061813354492
2011,5,39.49250030517578
2011,6,42.452056884765625
2011,7,44.08461380004883
2011,8,38.4573860168457
2011,9,30.011512756347656
2011,10,27.503076553344727
2011,11,24.25719451904297
2011,12,23.327362060546875
2012,1,22.574478149414062
2012,2,22.17394256591797
2012,3,27.1922664642334
2012,4,31.594240188598633
2012,5,38.50907897949219
2012,6,42.037864685058594
2012,7,42.922386169433594
2012,8,37.352298736572266
2012,9,30.20619010925293
2012,10,26.1025333404541
2012,11,22.955432891845703
2012,12,23.20110321044922
2013,1,22.343297958374023
2013,2,20.909244537353516
2013,3,26.105234146118164
2013,4,30.369861602783203
2013,5,38.898948669433594
2013,6,43.111328125
2013,7,43.65757751464844
2013,8,38.252254486083984
2013,9,30.8333740234375
2013,10,26.40547752380371
2013,11,23.831871032714844
2013,12,23.396255493164062
2014,1,22.840309143066406
2014,2,21.272220611572266
2014,3,26.935834884643555
2014,4,31.909591674804688
2014,5,39.18186569213867
2014,6,40.80717849731445
2014,7,41.920066833496094
2014,8,37.25370788574219
2014,9,30.868043899536133
2014,10,26.480348587036133
2014,11,23.029613494873047
2014,12,23.02056884765625
2015,1,23.594810485839844
2015,2,21.329862594604492
2015,3,27.016576766967773
2015,4,31.64753532409668
2015,5,38.573177337646484
2015,6,42.32772445678711
2015,7,42.2177734375
2015,8,37.40180587768555
2015,9,30.285293579101562
2015,10,25.66323471069336
2015,11,23.365129470825195
2015,12,23.30225944519043
2016,1,23.47354507446289
2016,2,22.711994171142578
2016,3,27.466434478759766
2016,4,31.532743453979492
2016,5,39.792598724365234
2016,6,44.40889358520508
2016,7,44.81666946411133
2016,8,39.71526336669922
2016,9,31.570436477661133
2016,10,26.2954158782959
2016,11,23.226146697998047
2016,12,23.68187713623047
2017,1,23.95121192932129
2017,2,22.58548927307129
2017,3,27.631303787231445
2017,4,31.938261032104492
2017,5,38.87663650512695
2017,6,41.211177825927734
2017,7,42.52727508544922
2017,8,37.38328552246094
2017,9,29.392541885375977
2017,10,27.12144660949707
2017,11,23.30426788330078
2017,12,22.893569946289062
2018,1,22.81740379333496
2018,2,21.46131134033203
2018,3,26.73505401611328
2018,4,31.399967193603516
2018,5,39.26464080810547
2018,6,42.25316619873047
2018,7,43.451942443847656
2018,8,38.1411247253418
2018,9,30.856664657592773
2018,10,27.425378799438477
2018,11,23.117982864379883
2018,12,23.15656852722168
2019,1,22.422035217285156
2019,2,21.043989181518555
2019,3,26.894630432128906
2019,4,31.253541946411133
2019,5,37.83102798461914
2019,6,42.02860641479492
2019,7,41.947914123535156
2019,8,36.748252868652344
2019,9,30.053712844848633
2019,10,26.226459503173828
2019,11,22.759855270385742
2019,12,22.96807861328125
2020,1,23.80767822265625
2020,2,23.262054443359375
2020,3,27.797096252441406
2020,4,31.40622901916504
2020,5,38.44713592529297
2020,6,41.505149841308594
2020,7,42.63367462158203
2020,8,37.02417755126953
2020,9,29.99934196472168
2020,10,25.71274757385254
2020,11,23.35572624206543
2020,12,23.13594627380371
2021,1,22.99512481689453
2021,2,21.50583839416504
2021,3,27.310359954833984
2021,4,30.43495750427246
2021,5,37.850181579589844
2021,6,41.638938903808594
2021,7,42.239234924316406
2021,8,36.25455856323242
2021,9,29.961938858032227
2021,10,26.598447799682617
2021,11,23.686508178710938
2021,12,22.99551773071289
2022,1,23.437490463256836
2022,2,21.513797760009766
2022,3,26.514158248901367
2022,4,30.79537010192871
2022,5,37.25605773925781
2022,6,41.10084915161133
2022,7,42.24017333984375
2022,8,37.98085021972656
2022,9,30.06191062927246
2022,10,26.829891204833984
2022,11,23.7614688873291
2022,12,23.091432571411133
2023,1,22.571134567260742
2023,2,21.443252563476562
2023,3,27.093761444091797
2023,4,30.83441925048828
2023,5,37.99892044067383
2023,6,40.713157653808594
2023,7,42.669342041015625
2023,8,37.27482223510742
2023,9,30.57269287109375
2023,10,25.786073684692383
2023,11,22.718341827392578
2023,12,22.80771255493164
2024,1,24.073822021484375
2024,2,23.546079635620117
2024,3,28.53754425048828
2024,4,33.091888427734375
2024,5,39.376094818115234
2024,6,43.30781936645508
2024,7,43.720375061035156
2024,8,40.28325653076172
2024,9,33.12749481201172
2024,10,28.028892517089844
2024,11,25.007450103759766
2024,12,24.249652862548828
